scenario,age_years,window_hours,no_mat_kg_per_window,with_mat_kg_per_window,spatial_flux_reduction_percent,peak_without_ng_per_l,peak_with_ng_per_l,peak_ratio
A,1.0,24.0,0.2930688,0.02950237575649838,89.9332935622972,59.98690737588074,6.038705866586606,0.10066706437702806
B,3.0,24.0,0.2930688,0.06726069568060047,77.04952022166792,39.368739476014994,9.035314592427056,0.2295047977833207
C,3.0,24.0,0.9289727999999998,0.25354848461576446,72.70657605736524,124.79147607491542,34.05986660939829,0.2729342394263476
D,3.0,24.0,0.2930688,0.07169211449741546,75.53744564504463,39.368739476014994,10.31877323526137,0.26210575630819927
E,3.0,24.0,0.2930688,0.06726069568060047,77.04952022166792,39.368739476014994,9.035314592427056,0.2295047977833207
F,3.0,24.0,0.32624640000000005,0.23505908644189177,27.95044284262087,43.82557790726197,28.287200955813763,0.6454495823345783
